"My Reviewed Products","I miei prodotti valutati"
Rating:,Valutazione:
"There are no reviews yet published.","Non ci sono ancora valutazioni pubblicate."
"Date Ordered:","Data dell'ordine:"
Cancel,Annulla
"Rate as:","Valutare come:"
Anonymous,Anonimo
"Your Rate:","La tua valutazione"
"Title for Review:","Titolo della valutazione:"
"Good product...","Ottimo prodotto versatile per l'uso quotidiano."
"Detailed Review:","Valutazione dettagliata:"
"Detailed Review (Optional)","Valutazione dettagliata (opzionale)"
"Submit Your Review","Invia la tua recensione"
"Date Ordered","Data dell'ordine"
"There are no products matching the selection.","Non ci sono prodotti corrispondenti alla selezione."
"Now, all products on sale! Enjoy!","Ora, tutti i prodotti sono in vendita! Divertiti!"
"Available soon again…","Presto disponibile…"
"My Wish List","La mia lista dei desideri"
"Reviews / Improvements","Recensioni / Miglioramenti"
"Perhaps you were looking for","FORSE STAVI CERCANDO"
"Review","Recensioni"
"Summary Cart","Riepilogo carrello"
"No items in your shopping cart.","Non ci sono articoli nel tuo carrello."
"Checkout as a Guest", "Checkout come ospite"
"Switzerland", "Svizzera"
"Cart Summary","Riepilogo carrello"
"Go to Cart","Vai al carrello"
"You save:","Risparmi:"
"Configuration","Configurazione"
"Colors","Colori"
"Sizes","Taglie"
"Functions","Funzioni"
"Submit your idea(s)","Invia le tue idee"
"Confirm Email","Conferma e-mail"
"Date of Birth","Data di nascita",
"DD/MM/YYYY","GG/MM/AAAA"
"I agree with the ","Accetto i "
"Terms and Conditions *","termini e le condizioni *"
"I’d like to receive the CARESHOP Newsletter!","Voglio ricevere la newsletter di CARESHOP!"
"Accept the","Accetta i"
"GTC","T&C"
"from POWERPAY","di POWERPAY"
"Sign In","Accedi"
"Done","Fatto"
"Shipping and Billing Address","Indirizzo di spedizione e fatturazione",module,Magento_Checkout
"REVIEW & PAYMENT","REVISIONE & PAGAMENTO",module,Magento_Checkout
"SHIPPING & BILLING","SPEDIZIONE & FATTURAZIONE",module,Magento_Checkout
"Default Shipping & Billing Address","Indirizzo di spedizione e fatturazione predefinito"
"Change Shipping & Billing Address", "Cambia indirizzo di spedizione e fatturazione"
"Additional Address Entries", "Altri indirizzi"
"Use as  default shipping & billing address", "Usa come indirizzo di spedizione e fatturazione predefinito"
"1.Ship To:","1.Spedisci a:",module,Magento_Checkout
"2.Shipping Method:","2.Metodo di Spedizione:",module,Magento_Checkout
"Payment Method","3.Metodo di pagamento",module,Magento_Checkout
"Premium Lenses","Lenti Premium"
"Checkout as a Member", "Effettua il checkout come membro"
"Ship Here", "Spedisci qui"
"Shipping Methods", "Metodi di spedizione"
"Total", "Totale"
"Affiliate","Affiliate"
My Affiliate Account,   Il mio account affiliato
Affiliate Home,   Home affiliato
You are not affiliated,   Non sei affiliato
Account Dashboard,  Dashboard dell'Account
General information,  Informazioni generali
Refer Code,  Codice di riferimento
Lead Details,  Dettagli dei Lead
Invitation History,  Storico inviti
Commission,  Commissione
Affiliate Programs,  Programmi di Affiliazione
Withdrawals,  Prelievi
Welcome To Our Affiliate Network!,  Benvenuto nel nostro network di affiliazione!
"<p>Affiliate programs are common throughout the Internet and offer website owners an additional way to spread the word about their websites. Among others, our program is free to join, easy to sign up and requires no technical knowledge! As our affiliates, you will generate traffic and sales for our website and receive attractive commissions in return.</p>","<p>I programmi di affiliazione sono comuni su Internet e offrono ai proprietari di siti web un modo aggiuntivo per promuovere i loro siti. Tra le altre cose, il nostro programma è gratuito, facile da iscriversi e non richiede alcuna conoscenza tecnica! Come nostri affiliati, genererete traffico e vendite per il nostro sito web e riceverete commissioni interessanti in cambio.</p>"
"<h3>How Does It Work?</h3>",  <h3>Come funziona?</h3>
"<p>When you join our affiliate program, you will be supplied with a range of banners and text links to place wherever you like. When a user clicks on one of your links, they will be brought to our website and their activities will be tracked by our affiliate program. Once this user completes a purchase, you earn commission!</p>","<p>Quando ti unisci al nostro programma di affiliazione, riceverai una gamma di banner e link testuali da posizionare dove preferisci. Quando un utente clicca su uno dei tuoi link, verrà reindirizzato al nostro sito e le sue attività verranno monitorate dal nostro programma di affiliazione. Una volta completato un acquisto, guadagnerai una commissione!</p>"
"<h3>Real-Time Statistics and Reports!</h3>",  "<h3>Statistiche e report in tempo reale!</h3>"
"<p>Log in anytime to check your performance with data of sales, traffic generated and your commission balance.</p>","<p>Accedi in qualsiasi momento per controllare le tue prestazioni con dati di vendite, traffico generato e il saldo della tua commissione.</p>"
Our Program!,  Il nostro programma!
Default,  Predefinit
PAY PER SALE - commission : ,  PAY PER SALE – Commissione :
PAY PER LEAD - commission for each completed order : ,  PAY PER LEAD – Commissione per ogni ordine completato :
Join Now,  Iscriviti ora
You have placed no lead details.,  Non hai inserito dettagli sui lead.
You have placed no transactions.,  Non hai registrato transazioni.
You have placed no invitation history.,  Non hai storico degli inviti.
You have placed no commission.,  Non hai registrato commissioni.
Afiliate Information,  Informazioni sull'affiliato
Refering Website,  Sito web di riferimento
Paypal Information,  Informazioni Paypal
Bank Transfer Information,  Informazioni sul bonifico bancario
Bank Account Holder's Name,  Nome del titolare del conto bancario
Your full name that appears on your bank account statement,  Il tuo nome completo che appare sul tuo estratto conto bancario
Bank Account Number/IBAN,  Numero di conto/IBAN
Up to 34 letters and numbers. Australian account numbers should include the BSB number.,  Fino a 34 lettere e numeri. I numeri di conto australiani dovrebbero includere il numero BSB.
SWIFT Code,  Codice SWIFT
either 8 or 11 characters e.g. ABNAUS33 or 1234567891,  8 o 11 caratteri ad es. ABNAUS33 o 1234567891
Bank Name in Full,  Nome completo della banca
"Up to 30 letters, numbers or spaces.","Fino a 30 lettere, numeri o spazi."
Bank Branch City,  Filiale della Banca – Città
Bank Branch Country,  Filiale della Banca – Paese
Intermediary Bank - Bank Code,  Banca Intermediaria – Codice Bancario
either 8 or 11 characters e.g. ABNAUS33 or 1234567891,  8 o 11 caratteri ad es. ABNAUS33 o 1234567891
Intermediary Bank - Name,  Banca Intermediaria - Nome
Intermediary Bank - City,  Banca Intermediaria - Città
Intermediary Bank - Country,  Banca Intermediaria - Paese
Please note that to use Bank Transfer payment you should input correctly of all bank fields.,  Si prega di notare che per utilizzare il pagamento tramite bonifico bancario è necessario inserire correttamente tutti i campi bancari.
Transactions,  Transazioni
Create New Affiliate Account,  Crea un nuovo account affiliato
Register,  Registrati
Tax ID,  ID fiscale
PayPal Email Account,  Account Email PayPal
Affiliate Login,  Accesso affiliato
Create an account,  Crea un account
